title,company,city,url,passedDay,type,imageUrl,JobDes,JobType,contractType,Experience,salary
کانتر فروش تور,اهورا پرواز | Ahoura Parvaz,تهران، تهران,https://jobinja.ir/companies/ahoura-parvaz/jobs/R4qm/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D9%86%D8%AA%D8%B1-%D9%81%D8%B1%D9%88%D8%B4-%D8%AA%D9%88%D8%B1-%D8%AF%D8%B1-%D8%A7%D9%87%D9%88%D8%B1%D8%A7-%D9%BE%D8%B1%D9%88%D8%A7%D8%B2?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/Mg0-jrCy24ZOd2rH4FRThl1_sIo=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://storage.jjcloud.ir/other/files/uploads/images/1fb9315c-f79f-494d-b811-5be113fd230f/main.jpg,,,,,
توسعه‌دهنده وردپرس (دورکاری-اصفهان),سپه کار | Sepahkar,اصفهان، اصفهان,https://jobinja.ir/companies/sepahkar/jobs/R5sn/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D8%AF%D9%87%D9%86%D8%AF%D9%87-%D9%88%D8%B1%D8%AF%D9%BE%D8%B1%D8%B3-%D8%AF%D9%88%D8%B1%DA%A9%D8%A7%D8%B1%DB%8C-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D8%AF%D8%B1-%D8%B3%D9%BE%D9%87-%DA%A9%D8%A7%D8%B1?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/0hdqqc8rjTk8AezE4Ahw3hqk2nA=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://storage.jjcloud.ir/other/files/uploads/images/fad03666-ab63-11eb-b9f1-86000088a815_bcee1f12-d3cf-4324-8931-3c3ff0a0e5bf/main.png,,,,,
QA Test Engineer,هف هشتاد | Hafhashtad,تهران، تهران,https://jobinja.ir/companies/hafhashtad/jobs/RunP/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-qa-test-engineer-%D8%AF%D8%B1-%D9%87%D9%81-%D9%87%D8%B4%D8%AA%D8%A7%D8%AF?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/iG5Z1Lti7-SwcWswxl1UDaQv5S0=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://storage.jjcloud.ir/other/files/uploads/images/3c9aa2e8-ed51-4881-a169-4e5e79fe92b0/main.jpg,,,,,
senior Marketing Automation Specialist,فلای تودی | FT,تهران، تهران,https://jobinja.ir/companies/abnoos-gasht-tehran/jobs/Rx3P/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-marketing-automation-specialist-%D8%AF%D8%B1-%D9%81%D9%84%D8%A7%DB%8C-%D8%AA%D9%88%D8%AF%DB%8C?_ref=16,۱ روز پیش,شغل,https://thumb.jobinjacdn.com/HK4K_nr4RVNBfingwW5Ju3obR3Y=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://storage.jjcloud.ir/other/files/uploads/images/3b1f2980-e3c8-403f-9acf-30872580f9d1/main.png,,,,,
کارشناس فروش و برندینگ(خانم),اسپرلوس فناوری | Esperloos technology,تهران، تهران,https://jobinja.ir/companies/esperloos-technology/jobs/RiQl/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%81%D8%B1%D9%88%D8%B4-%D9%88-%D8%A8%D8%B1%D9%86%D8%AF%DB%8C%D9%86%DA%AF-%D8%AE%D8%A7%D9%86%D9%85-%D8%AF%D8%B1-%D8%A7%D8%B3%D9%BE%D8%B1%D9%84%D9%88%D8%B3-%D9%81%D9%86%D8%A7%D9%88%D8%B1%DB%8C?_ref=16,۱ روز پیش,شغل,https://thumb.jobinjacdn.com/1HHgci3hdUZ9BtUwW2LAXZebvls=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://storage.jjcloud.ir/other/files/uploads/images/2a837143-67d9-4ad1-95ac-e01b8faadb71/main.png,,,,,
کارشناس Call-Center (شیفت عصر-مشهد),ایران هتل آنلاین | Iran Hotel Online,خراسان رضوی، مشهد,https://jobinja.ir/companies/iran-hotel-online/jobs/RQMM/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-call-center-%D8%B4%DB%8C%D9%81%D8%AA-%D8%B9%D8%B5%D8%B1-%D9%85%D8%B4%D9%87%D8%AF-%D8%AF%D8%B1-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D9%87%D8%AA%D9%84-%D8%A2%D9%86%D9%84%D8%A7%DB%8C%D9%86?_ref=16,۱ روز پیش,شغل,https://thumb.jobinjacdn.com/RTas4NIv8DaGGnlTNDBdr2zTVQY=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://storage.jjcloud.ir/other/files/uploads/images/3ebfd70a-2564-11ea-adc2-26a4da5b8340_d57e5974-3551-41f2-a589-dd218be72de2/main.jpg,,,,,
طراح UI/UX (آقا),گروه تحقیقاتی فردا | Farda Research Group,تهران، تهران,https://jobinja.ir/companies/keyno-group/jobs/R5Wd/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%B7%D8%B1%D8%A7%D8%AD-ui-ux-%D8%A2%D9%82%D8%A7-%D8%AF%D8%B1-%DA%AF%D8%B1%D9%88%D9%87-%D8%AA%D8%AD%D9%82%DB%8C%D9%82%D8%A7%D8%AA%DB%8C-%D9%81%D8%B1%D8%AF%D8%A7?_ref=16,۱ روز پیش,شغل,https://jobinja.ir/assets/img/logo-placeholder.png,,,,,
مدیر بازاریابی و فروش نرم افزار,راهکارسیستم سامان | Rahkar System Saman,تهران، تهران,https://jobinja.ir/companies/rahkar-sysytem-saman/jobs/R5WW/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%AF%DB%8C%D8%B1-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C-%D9%88-%D9%81%D8%B1%D9%88%D8%B4-%D9%86%D8%B1%D9%85-%D8%A7%D9%81%D8%B2%D8%A7%D8%B1-%D8%AF%D8%B1-%D8%B1%D8%A7%D9%87%DA%A9%D8%A7%D8%B1%D8%B3%DB%8C%D8%B3%D8%AA%D9%85-%D8%B3%D8%A7%D9%85%D8%A7%D9%86?_ref=16,۱ روز پیش,شغل,https://thumb.jobinjacdn.com/yMEtMii1vw4XJ86ctWknCad7EZA=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://storage.jjcloud.ir/other/files/uploads/images/4c89c074-79f0-4e72-a56f-d6684bb87f54/main.png,,,,,
کارشناس فروش,پابلیکا | Publica,تهران، تهران,https://jobinja.ir/companies/publica/jobs/RiLu/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%81%D8%B1%D9%88%D8%B4-%D8%AF%D8%B1-%D9%BE%D8%A7%D8%A8%D9%84%DB%8C%DA%A9%D8%A7?_ref=16,۱ روز پیش,شغل,https://thumb.jobinjacdn.com/oNUaVjOy186Ln3IjsXSd_XhvifY=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://storage.jjcloud.ir/other/files/uploads/images/92a3271e-cfdc-11ea-90b3-26a4da5b8340_59eac6e9-5b3f-4c49-822f-12dbf5b3a8c1/main.png,,,,,
مسئول فروش,اینفودنیز | Info Deniz,تهران، تهران,https://jobinja.ir/companies/infodeniz/jobs/Rieb/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%B3%D8%A6%D9%88%D9%84-%D9%81%D8%B1%D9%88%D8%B4-%D8%AF%D8%B1-%D8%A7%DB%8C%D9%86%D9%81%D9%88%D8%AF%D9%86%DB%8C%D8%B2?_ref=16,۱ روز پیش,شغل,https://thumb.jobinjacdn.com/KQR-tkMFAxwTkGOfAZqasAzI2h0=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://storage.jjcloud.ir/other/files/uploads/images/64975706-686a-11eb-b44f-86000088a815_a96fa013-da7f-4f94-8cf5-c37aefdef383/main.png,,,,,
